"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.162595904997286,0.05220907525474,-34.7925577658873,2.48959943582935e-260,0.146780195964555,0.1801157720778
"mat_eduprimary",0.899173865604819,0.0204160211091568,-5.20565999361117,1.94511018704072e-07,0.863902765359412,0.935885001190318
"mat_edusecondary",0.694838363523393,0.0196939329314831,-18.4867102067749,6.62199882869031e-76,0.668528064231218,0.722184119494024
"mat_eduhigher",0.495995723012181,0.0604251353830863,-11.6042433468833,4.53127729887198e-31,0.440597472350207,0.558359438455504
"mat_edubasic",0.777106398521328,0.0911502007438545,-2.76662037930129,0.00566734399555698,0.649965543459665,0.929117490457039
"wealthpoorer",0.877409285281278,0.0187501478660888,-6.97496939847691,3.11926004750515e-12,0.845748940734936,0.910254824828777
"wealthmiddle",0.797795037991745,0.0223978985062249,-10.0859265471556,6.92745262415087e-24,0.763528896284889,0.8335989976819
"wealthricher",0.707635698551536,0.0256272981208721,-13.4944334026976,2.19399094025664e-41,0.672968763052593,0.74408844712661
"wealthrichest",0.649901605511945,0.0343971437810981,-12.5282002025777,6.36623192221259e-36,0.607529808161883,0.695228598124124
"residencerural",1.03214477326374,0.0242224802030573,1.3061809164679,0.191500507861274,0.984286704326991,1.08232980115694
"birth_order",1.09153856520815,0.00536319275044029,16.3313594647462,1.03533350643195e-59,1.08012433890594,1.10307341147732
"birth_int",0.975240185452051,0.000820615704659733,-30.5520527163369,4.51997895097037e-202,0.973672832354618,0.976810061569179
"child_sexfemale",0.977456202447107,0.013393358910881,-1.70247015396599,0.0886770620278158,0.952130383482157,1.00345566560761
"countryindia",0.732888081909992,0.0307513882721583,-10.1056339630016,5.67039137046348e-24,0.690018972045602,0.778420539674972
"countrynepal",0.842176207072043,0.0563197771321756,-3.04983477072328,0.00229156016557586,0.754156811657807,0.940468550829815
"countrypakistan",0.947106519694502,0.0503813899966824,-1.07864651862875,0.280753533741439,0.858049758929672,1.04540645843985
