"country","NAME_1","total_births","total_deaths","region_u5mr"
"india","Andaman and Nicobar",3094,76,24.5636716224951
"india","Andhra Pradesh",19245,1066,55.3910106521174
"india","Arunachal Pradesh",33170,579,17.4555321073259
"india","Assam",57394,2403,41.8684879952608
"india","Bihar",97628,6684,68.4639652558692
"india","Chandigarh",1142,33,28.8966725043783
"india","Chhattisgarh",47346,2617,55.2739407764119
"india","Dadra and Nagar Haveli",1506,48,31.8725099601594
"india","Daman and Diu",1911,46,24.0711669283098
"india","Goa",2228,23,10.3231597845601
"india","Gujarat",57581,2650,46.0221253538494
"india","Haryana",38097,2003,52.5763183452765
"india","Himachal Pradesh",16892,653,38.6573525929434
"india","Jammu and Kashmir",34223,504,14.7269380241358
"india","Jharkhand",52563,3230,61.4500694404809
"india","Karnataka",49252,1798,36.5061317306911
"india","Kerala",17028,190,11.1580925534414
"india","Lakshadweep",672,3,4.46428571428571
"india","Madhya Pradesh",92331,6400,69.3158310859841
"india","Maharashtra",56780,2003,35.2765058119056
"india","Manipur",14293,459,32.1136220527531
"india","Meghalaya",28118,1308,46.5182445408635
"india","Mizoram",12131,273,22.5043277553376
"india","NCT of Delhi",15779,582,36.8844666962418
"india","Nagaland",16842,510,30.2814392589954
"india","Odisha",46041,3048,66.2018635563954
"india","Puducherry",2815,72,25.5772646536412
"india","Punjab",33265,1429,42.9580640312641
"india","Rajasthan",77777,3730,47.9576224333672
"india","Sikkim",4163,93,22.3396588998319
"india","Tamil Nadu",39229,1429,36.4271329883505
"india","Telangana",47429,2451,51.6772438803264
"india","Tripura",11449,634,55.3760153725216
"india","Uttar Pradesh",181638,12449,68.5374205837985
"india","Uttarakhand",23423,1035,44.1873372326346
"india","West Bengal",34241,1587,46.3479454455185
